timestamp,in2.ft
2/28/2018 13:38,0.031
2/28/2018 13:40,0.031
2/28/2018 13:42,0.031
2/28/2018 13:44,0.031
2/28/2018 13:46,0.031
2/28/2018 13:48,0.031
2/28/2018 13:50,0.031
2/28/2018 13:52,0.031
2/28/2018 13:54,0.031
2/28/2018 13:56,0.031
2/28/2018 13:58,0.031
2/28/2018 14:00,0.031
2/28/2018 14:02,0.031
2/28/2018 14:04,0.031
2/28/2018 14:06,0.031
2/28/2018 14:08,0.034
2/28/2018 14:10,0.034
2/28/2018 14:12,0.034
2/28/2018 14:14,0.031
2/28/2018 14:16,0.031
2/28/2018 14:18,0.031
2/28/2018 14:20,0.031
2/28/2018 14:22,0.031
2/28/2018 14:24,0.031
2/28/2018 14:26,0.031
2/28/2018 14:28,0.031
2/28/2018 14:30,0.031
2/28/2018 14:32,0.031
2/28/2018 14:34,0.031
2/28/2018 14:36,0.034
2/28/2018 14:38,0.031
2/28/2018 14:40,0.031
2/28/2018 14:42,0.031
2/28/2018 14:44,0.031
2/28/2018 14:46,0.031
2/28/2018 14:48,0.031
2/28/2018 14:50,0.031
2/28/2018 14:52,0.031
2/28/2018 14:54,0.031
2/28/2018 14:56,0.031
2/28/2018 14:58,0.034
2/28/2018 15:00,0.034
2/28/2018 15:02,0.031
2/28/2018 15:04,0.031
2/28/2018 15:06,0.031
2/28/2018 15:08,0.034
2/28/2018 15:10,0.034
2/28/2018 15:12,0.034
2/28/2018 15:14,0.034
2/28/2018 15:16,0.034
2/28/2018 15:18,0.031
2/28/2018 15:20,0.031
2/28/2018 15:22,0.031
2/28/2018 15:24,0.034
2/28/2018 15:26,0.034
2/28/2018 15:28,0.037
2/28/2018 15:30,0.031
2/28/2018 15:32,0.031
2/28/2018 15:34,0.031
2/28/2018 15:36,0.031
2/28/2018 15:38,0.034
2/28/2018 15:40,0.034
2/28/2018 15:42,0.034
2/28/2018 15:44,0.034
2/28/2018 15:46,0.034
2/28/2018 15:48,0.031
2/28/2018 15:50,0.031
2/28/2018 15:52,0.034
2/28/2018 15:54,0.031
2/28/2018 15:56,0.031
2/28/2018 15:58,0.037
2/28/2018 16:00,0.034
2/28/2018 16:02,0.031
2/28/2018 16:04,0.031
2/28/2018 16:06,0.031
2/28/2018 16:08,0.031
2/28/2018 16:10,0.034
2/28/2018 16:12,0.034
2/28/2018 16:14,0.031
2/28/2018 16:16,0.031
2/28/2018 16:18,0.031
2/28/2018 16:20,0.031
2/28/2018 16:22,0.031
2/28/2018 16:24,0.031
2/28/2018 16:26,0.031
2/28/2018 16:28,0.034
2/28/2018 16:30,0.034
2/28/2018 16:32,0.031
2/28/2018 16:34,0.031
2/28/2018 16:36,0.031
2/28/2018 16:38,0.034
2/28/2018 16:40,0.034
2/28/2018 16:42,0.034
2/28/2018 16:44,0.034
2/28/2018 16:46,0.034
2/28/2018 16:48,0.031
2/28/2018 16:50,0.034
2/28/2018 16:52,0.034
2/28/2018 16:54,0.034
2/28/2018 16:56,0.034
2/28/2018 16:58,0.037
2/28/2018 17:00,0.034
2/28/2018 17:02,0.034
2/28/2018 17:04,0.034
2/28/2018 17:06,0.034
2/28/2018 17:08,0.034
2/28/2018 17:10,0.034
2/28/2018 17:12,0.034
2/28/2018 17:14,0.034
2/28/2018 17:16,0.034
2/28/2018 17:18,0.034
2/28/2018 17:20,0.034
2/28/2018 17:22,0.034
2/28/2018 17:24,0.034
2/28/2018 17:26,0.031
2/28/2018 17:28,0.037
2/28/2018 17:30,0.034
2/28/2018 17:32,0.034
2/28/2018 17:34,0.034
2/28/2018 17:36,0.034
2/28/2018 17:38,0.034
2/28/2018 17:40,0.034
2/28/2018 17:42,0.037
2/28/2018 17:44,0.037
2/28/2018 17:46,0.034
2/28/2018 17:48,0.034
2/28/2018 17:50,0.037
2/28/2018 17:52,0.037
2/28/2018 17:54,0.037
2/28/2018 17:56,0.034
2/28/2018 17:58,0.041
